library,status_h1,status_h2,display_status_h1,display_status_h2,complete_h1,complete_h2,tests_passing_h1,tests_passing_h2,tests_written_h1,tests_written_h2,hidden_score_h1,hidden_score_h2,hidden_score,hidden_score_n,hidden_total_valid_h1,hidden_total_valid_h2,hidden_total_valid,hidden_total_valid_n,hidden_undetected_h1,hidden_undetected_h2,hidden_undetected,hidden_undetected_n,hidden_benchmark_score_h1,hidden_benchmark_score_h2,hidden_benchmark_score,hidden_benchmark_score_n,hidden_benchmark_total_valid_h1,hidden_benchmark_total_valid_h2,hidden_benchmark_total_valid,hidden_benchmark_total_valid_n,hidden_benchmark_undetected_h1,hidden_benchmark_undetected_h2,hidden_benchmark_undetected,hidden_benchmark_undetected_n,display_status_full_r1,display_status_full_r2,full_pre_score,full_pre_n,delta_feedback
glob,completed,completed,ok,ok,True,True,7,7,7,7,27.27,27.75,27.509999999999998,2,627,627,627.0,2,456,453,454.5,2,27.27272727272727,27.591706539074963,27.432216905901115,2,627,627,627.0,2,456,454,455.0,2,ok,ok,38.12,2,10.61
fs-extra,completed,completed,ok,fail,True,False,133,99,133,99,79.17,,79.17,1,1325,,1325.0,1,276,,276.0,1,79.01886792452831,,79.01886792452831,1,1325,,1325.0,1,278,,278.0,1,ok,fail,67.77,1,-11.400000000000006
graceful-fs,completed,completed,ok,ok,True,True,134,138,134,138,28.75,24.92,26.835,2,313,313,313.0,2,223,235,229.0,2,28.753993610223645,24.920127795527154,26.837060702875398,2,313,313,313.0,2,223,235,229.0,2,fail,ok,97.12,1,70.285
jsonfile,completed,completed,ok,ok,True,True,4,4,4,4,78.69,91.8,85.245,2,61,61,61.0,2,13,5,9.0,2,78.68852459016394,91.80327868852459,85.24590163934425,2,61,61,61.0,2,13,5,9.0,2,ok,ok,82.78999999999999,2,-2.4550000000000125
q,completed,completed,ok,ok,True,True,94,94,94,94,58.47,56.49,57.480000000000004,2,1033,1032,1032.5,2,429,449,439.0,2,58.37366892545982,56.492248062015506,57.43295849373766,2,1033,1032,1032.5,2,430,449,439.5,2,ok,ok,63.265,2,5.784999999999997
node-dir,completed,completed,ok,ok,True,True,6,5,6,5,70.59,67.95,69.27000000000001,2,493,493,493.0,2,145,158,151.5,2,70.38539553752535,67.95131845841786,69.16835699797161,2,493,493,493.0,2,146,158,152.0,2,ok,ok,56.489999999999995,2,-12.780000000000015
zip-a-folder,completed,completed,ok,ok,True,True,3,2,3,2,100,95.83,97.91499999999999,2,24,24,24.0,2,0,1,0.5,2,100,95.83333333333334,97.91666666666667,2,24,24,24.0,2,0,1,0.5,2,ok,ok,100.0,2,2.085000000000008
quill-delta,completed,completed,ok,ok,True,True,32,32,32,32,72.15,60.28,66.215,2,851,851,851.0,2,237,338,287.5,2,72.15041128084606,60.28202115158637,66.21621621621621,2,851,851,851.0,2,237,338,287.5,2,ok,ok,64.13,2,-2.085000000000008
complex.js,completed,completed,ok,ok,True,True,97,99,97,99,65.33,77.33,71.33,2,1295,1288,1291.5,2,449,292,370.5,2,65.32818532818533,77.32919254658384,71.32868893738458,2,1295,1288,1291.5,2,449,292,370.5,2,ok,ok,71.39,2,0.060000000000002274
pull-stream,completed,completed,ok,ok,True,True,20,23,20,23,71.52,87.34,79.43,2,474,474,474.0,2,135,60,97.5,2,71.51898734177216,87.34177215189874,79.43037974683546,2,474,474,474.0,2,135,60,97.5,2,ok,ok,78.795,2,-0.6350000000000051
countries-and-timezones,completed,completed,ok,ok,True,True,5,7,5,7,7.51,7.63,7.57,2,2662,2662,2662.0,2,2462,2459,2460.5,2,7.513148009015777,7.625845229151014,7.569496619083395,2,2662,2662,2662.0,2,2462,2459,2460.5,2,ok,ok,7.12,2,-0.4500000000000002
simple-statistics,completed,completed,ok,ok,True,True,77,79,77,79,71.57,72.88,72.225,2,2054,2054,2054.0,2,584,557,570.5,2,71.61635832521908,72.88218111002921,72.24926971762414,2,2054,2054,2054.0,2,583,557,570.0,2,ok,ok,67.31,2,-4.914999999999992
plural,completed,partial_benchmark,ok,fail,True,False,4,1,4,2,42.13,,42.13,1,178,,178.0,1,103,,103.0,1,42.13483146067416,,42.13483146067416,1,178,,178.0,1,103,,103.0,1,ok,ok,34.269999999999996,2,-7.8600000000000065
dirty,completed,completed,ok,ok,True,True,9,8,9,8,54.37,40,47.185,2,160,160,160.0,2,73,96,84.5,2,55.625,39.375,47.5,2,160,160,160.0,2,71,97,84.0,2,ok,ok,56.565,2,9.379999999999995
geo-point,completed,completed,ok,ok,True,True,19,18,19,18,83.87,75.9,79.885,2,186,195,190.5,2,30,47,38.5,2,83.87096774193549,75.8974358974359,79.8842018196857,2,186,195,190.5,2,30,47,38.5,2,ok,ok,73.335,2,-6.550000000000011
uneval,completed,completed,ok,ok,True,True,1,1,1,1,91.53,91.53,91.53,2,59,59,59.0,2,5,5,5.0,2,91.52542372881356,91.52542372881356,91.52542372881356,2,59,59,59.0,2,5,5,5.0,2,fail,fail,0.0,2,-91.53
image-downloader,completed,completed,ok,ok,True,True,1,1,1,1,69.77,51.16,60.464999999999996,2,43,43,43.0,2,13,21,17.0,2,69.76744186046511,51.162790697674424,60.46511627906977,2,43,43,43.0,2,13,21,17.0,2,ok,ok,73.255,2,12.79
crawler-url-parser,completed,completed,ok,ok,True,True,2,2,2,2,59.29,54.87,57.08,2,226,226,226.0,2,92,102,97.0,2,59.29203539823009,54.86725663716814,57.07964601769912,2,226,226,226.0,2,92,102,97.0,2,fail,ok,29.865,2,-27.215
gitlab-js,completed,completed,ok,ok,True,True,25,30,25,30,39.55,41.72,40.635,2,1057,1057,1057.0,2,639,616,627.5,2,39.54588457899716,41.72185430463576,40.63386944181646,2,1057,1057,1057.0,2,639,616,627.5,2,ok,ok,29.28,2,-11.354999999999997
core,completed,completed,ok,ok,True,True,20,18,20,18,67.24,66.55,66.895,2,293,293,293.0,2,96,98,97.0,2,67.23549488054607,66.55290102389078,66.89419795221843,2,293,293,293.0,2,96,98,97.0,2,ok,ok,61.435,2,-5.459999999999994
omnitool,completed,completed,ok,ok,True,True,255,256,255,256,78.48,80.88,79.68,2,4995,4995,4995.0,2,1075,955,1015.0,2,78.47847847847848,80.88088088088088,79.67967967967968,2,4995,4995,4995.0,2,1075,955,1015.0,2,ok,ok,78.29,2,-1.3900000000000006
